age	data
60	gut
35	gut
34	gut
17	gut
40	gut
43	gut
60	gut
69	gut
42	gut
19	gut
20	gut
19	gut
18	gut
23	gut
20	gut
20	gut
51	gut
46	gut
45	gut
52	gut
54	gut
43	gut
50	gut
70	gut
53	gut
27	gut
46	gut
29	gut
23	gut
60	gut
54	gut
31	gut
66	gut
49	gut
26	gut
66	gut
44	gut
34	gut
61	gut
52	gut
59	gut
57	gut
63	gut
16	gut
66	gut
25	gut
52	gut
63	gut
30	gut
27	gut
20	gut
36	gut
37	gut
49	gut
37	gut
66	gut
46	gut
44	gut
27	gut
25	gut
59	gut
63	gut
24	gut
45	gut
47	gut
30	gut
34	gut
29	gut
18	gut
84	gut
38	gut
59	gut
15	gut
44	gut
49	gut
57	gut
68	gut
55	gut
55	gut
26	gut
29	gut
46	gut
62	gut
58	gut
37	gut
49	gut
37	gut
32	gut
50	gut
32	gut
34	gut
52	gut
57	gut
60	gut
23	gut
30	gut
36	gut
66	gut
23	gut
37	gut
35	gut
68	gut
34	gut
64	gut
22	gut
33	gut
67	gut
48	gut
56	gut
14	gut
65	gut
24	gut
33	gut
53	gut
32	gut
30	gut
65	gut
37	gut
57	gut
62	gut
37	gut
24	gut
23	gut
29	gut
29	gut
83	gut
37	gut
55	gut
56	gut
37	gut
68	gut
55	gut
57	gut
61	gut
64	gut
48	gut
62	gut
57	gut
54	gut
65	gut
51	gut
38	gut
51	gut
71	gut
66	gut
30	gut
44	gut
22	gut
34	gut
48	gut
22	gut
46	gut
57	gut
61	gut
50	gut
63	gut
24	gut
54	gut
63	gut
28	gut
35	gut
60	gut
25	gut
40	gut
35	gut
40	gut
41	gut
53	gut
81	gut
17	gut
61	gut
49	gut
36	gut
45	gut
56	gut
31	gut
36	gut
37	gut
47	gut
34	gut
24	gut
67	gut
44	gut
40	gut
49	gut
25	gut
64	gut
58	gut
54	gut
48	gut
69	gut
52	gut
33	gut
25	gut
48	gut
33	gut
50	gut
73	gut
57	gut
43	gut
64	gut
63	gut
68	gut
53	gut
56	gut
27	gut
32	gut
36	gut
59	gut
30	gut
55	gut
27	gut
59	gut
24	gut
